Open,High,Low,Close,Volume,Dividends,Stock Splits
176609.96294117646,177023.5694117647,175369.14352941175,175782.75,154056,0.0,0.0
176196.35647058825,177850.78235294117,174128.32411764708,175782.75,140803,0.0,0.0
173714.74864130435,174955.5682744565,169992.28974184784,171233.109375,250721,0.0,0.0
173301.10645933013,175782.745215311,172473.89354066984,172887.5,191920,0.0,0.0
174541.91303699286,174541.91303699286,172887.4873210024,173301.09375,168841,0.0,0.0
172887.50580357143,174955.53816964285,170819.47343749998,173714.71875,159178,0.0,0.0
174955.546875,179918.82480053193,174128.33388741134,174955.546875,539580,0.0,0.0
177023.56831395347,178677.9941860465,175782.7489098837,177850.78125,347086,0.0,0.0
178677.97170900693,181159.61020496537,178264.36529301386,179091.578125,229176,0.0,0.0
178264.359375,179918.78498404872,177023.54016821345,178264.359375,140064,0.0,0.0
179505.22448394497,184468.50258027524,179091.61797591744,180332.4375,403369,0.0,0.0
181986.83015695066,184882.07518217489,180746.010860426,184468.46875,321262,0.0,0.0
187363.71581167035,189018.14155835178,185295.6836283186,186950.109375,262685,0.0,0.0
185709.3026953991,186950.12208980042,184468.4833009978,186536.515625,180046,0.0,0.0
185295.69517543857,189845.3662623355,184882.0887129934,188604.546875,300709,0.0,0.0
189018.16144670759,189845.37440708705,185295.703125,185295.703125,227280,0.0,0.0
186122.93046357614,187363.75,183227.68487858717,187363.75,192356,0.0,0.0
188190.95141982182,189431.77087973274,185709.3125,185709.3125,237742,0.0,0.0
185709.31985092998,189845.3848810175,184882.1068449125,189018.171875,357619,0.0,0.0
189431.76342147434,193981.43459535256,189431.76342147434,193567.828125,518647,0.0,0.0
192740.60834660297,198117.49227043524,192740.60834660297,194808.640625,492543,0.0,0.0
196049.44547458508,200185.50972510377,194395.0197743776,199358.296875,414728,0.0,0.0
198117.4755120798,199771.90119485292,196049.44340861344,196876.65625,223745,0.0,0.0
198944.69315444326,199771.90601579228,192326.99026365095,193154.203125,424166,0.0,0.0
194808.6475360577,196876.6798878205,193567.828125,193567.828125,208938,0.0,0.0
193981.4228515625,200185.51953125,193567.81640625,198531.09375,317502,0.0,0.0
199358.2930812757,202667.1444187243,197703.86741255145,201012.71875,245151,0.0,0.0
198117.51436596076,201839.9728822314,197703.9078641529,200185.546875,233271,0.0,0.0
200599.1388308977,201426.35177453025,196876.68058455113,198117.5,253445,0.0,0.0
196049.45796517673,198944.703125,194808.63861096674,198944.703125,306049,0.0,0.0
197290.28772321428,202667.171875,195222.25535714286,202667.171875,461115,0.0,0.0
203080.7915,207216.8565,199771.9395,206803.25,490598,0.0,0.0
206803.25,209284.889,203908.0045,206803.25,294977,0.0,0.0
207216.8565,212180.13450000001,205562.4305,206803.25,334376,0.0,0.0
208457.66950389105,212593.734375,206389.6370683366,212593.734375,401006,0.0,0.0
211352.87714579303,214248.12203820114,210939.27073259186,213834.515625,291784,0.0,0.0
213834.54507093932,213834.54507093932,207216.84154843443,211352.90625,415121,0.0,0.0
211352.88353413652,211766.48995983932,203080.7550200803,205976.0,361616,0.0,0.0
205975.99999999997,208044.03212851402,203494.3614457831,205976.0,183690,0.0,0.0
206803.19644632205,210112.0475894632,205975.98366053676,208044.015625,254558,0.0,0.0
206803.2167257085,207630.42959261136,203080.75882464575,204321.578125,263548,0.0,0.0
203080.77834821428,203494.38482142857,198531.10714285713,202667.171875,386165,0.0,0.0
199358.306640625,201426.3388671875,197290.2744140625,198531.09375,216800,0.0,0.0
199771.92656249998,203080.77834821428,198944.7136160714,202667.171875,272213,0.0,0.0
208871.23866658605,213834.515625,206803.20660058025,213834.515625,603177,0.0,0.0
213420.92863894138,219211.41895085064,212180.1092863894,218797.8125,444183,0.0,0.0
218797.8095703125,219625.0224609375,215902.564453125,218384.203125,240441,0.0,0.0
217970.59763450833,223761.0878942486,216729.77829313543,222933.875,331625,0.0,0.0
221279.46645642203,227483.563646789,220452.25349770644,225415.53125,383744,0.0,0.0
221279.4337293837,239478.11612955728,221279.4337293837,238237.296875,889388,0.0,0.0
238237.3489208633,243614.23353192446,229965.21875,229965.21875,757929,0.0,0.0
232446.82420494698,235755.675795053,227069.9403710247,234101.25,446493,0.0,0.0
